Hybrid_Node_ID,Drone_Facility_ID,Facility_Name,Node_Type,Latitude,Longitude,Network_Role
719,166,"Riverside Resource Centre",H,55.87101907,-4.294682696,CLUSTER_NODE
699,107,"Hawick Psychogeriatric Day Hospital",H,55.41944947,-2.788906805,CLUSTER_NODE
319,188,"Stephen Cottage Hospital",H,57.4459224,-3.122858852,CLUSTER_NODE
687,253,"Whitburn Day Hospital",H,55.86709634,-3.687680614,CLUSTER_NODE
185,208,"Glencoe Hospital",H,56.68504892,-5.096778442,CLUSTER_NODE
420,185,"Ugie Hospital",H,57.51538041,-1.792753795,CLUSTER_NODE
525,33,"Tiree Airport",A,56.49919891,-6.869170189,CLUSTER_NODE
365,20,"Queen Elizabeth University Hospital",H,55.86270871,-4.336845035,CLUSTER_NODE
638,1,"University Hospital Crosshouse",H,55.61397859,-4.538174149,CLUSTER_NODE
263,98,"Three Towns Resource Centre",H,55.6396381,-4.770025661,CLUSTER_NODE
422,288,"St Brendans Cot Hospital",H,56.95228577,-7.496280665,CLUSTER_NODE
242,125,"Laurel Bank (CETU)",H,55.06292255,-3.602475871,CLUSTER_NODE
183,210,"Ross Memorial Hospital",H,57.59470653,-4.416007475,CLUSTER_NODE
551,95,"Maybole Day Hospital",H,55.35471481,-4.680353228,CLUSTER_NODE
224,156,"Leverndale Hospital",H,55.83539782,-4.365218663,CLUSTER_NODE
694,286,"Bluebell Intermediary Care Unit",H,56.45943886,-3.048319896,CLUSTER_NODE
692,183,"Turriff Cottage Hospital",H,57.53734207,-2.449308321,CLUSTER_NODE
177,217,"Coathill Hospital",H,55.84868464,-4.024619696,CLUSTER_NODE
676,44,"new",new,56.54605839,-4.733614026,CLUSTER_NODE
637,119,"Thornhill Hospital",H,55.23567518,-3.765209858,CLUSTER_NODE
730,200,"Dunbar Hospital",H,58.58451762,-3.538168965,CLUSTER_NODE
523,254,"St John's Hospital",H,55.89302304,-3.518009928,CLUSTER_NODE
77,107,"Hawick Psychogeriatric Day Hospital",H,55.41944947,-2.788906805,POWER_BACKBONE
