Power_Node_ID,Drone_Facility_ID,Facility_Name,Node_Type,Latitude,Longitude
1,140,"Bungalows/Red Lodge",H,56.0202128,-3.837346211
2,63,"Balfour Hospital",H,58.97412018,-2.963844233
3,233,"University Hospital Wishaw",H,55.77374293,-3.94042798
4,257,"Bathgate House Day Hospital",H,55.90194772,-3.641937275
5,98,"Three Towns Resource Centre",H,55.6396381,-4.770025661
6,18,"Lochview Hospital (Forth Valley Royal Hospital)",H,56.02804111,-3.844555495
7,130,"St Andrews Community Hospital",H,56.32774528,-2.804063191
8,79,"Western Isles Hospital",H,58.22148589,-6.382504582
9,53,"new",new,58.17604371,-4.092198507
10,243,"Edinburgh Dental Institute",H,55.94414689,-3.196941762
11,118,"Newton Stewart Hospital",H,54.95103654,-4.490623744
12,185,"Ugie Hospital",H,57.51538041,-1.792753795
13,225,"Roadmeetings Hospital",H,55.72963089,-3.811487007
14,195,"Islay Hospital",H,55.7558601,-6.278215216
15,15,"Victoria Hospital",H,56.12519279,-3.158700518
16,133,"Weston Day Hospital",H,56.31855927,-3.018245422
17,44,"new",new,56.54605839,-4.733614026
18,114,"Kirkcudbright Cottage Hospital",H,54.83444404,-4.049303582
19,73,"new",new,60.12535509,-2.054196977
20,59,"University Hospital Monklands",H,55.8659408,-3.998281093
21,183,"Turriff Cottage Hospital",H,57.53734207,-2.449308321
22,150,"Acorn Street Day Hospital",H,55.8467593,-4.223569292
23,138,"Bellsdyke Hospital",H,56.03504609,-3.818273686
24,127,"Midpark Hospital",H,55.05259832,-3.58695362
25,65,"Eday Airport",A,59.19060135,-2.772219896
26,203,"Lawson Memorial Hospital",H,57.97329514,-3.98626108
27,23,"Aberdeen Dyce Airport",A,57.2019,-2.19778
28,236,"Corstorphine Hospital",H,55.94301171,-3.269943375
29,182,"Jubilee Hospital",H,57.44344284,-2.788813164
30,16,"Dundee Airport",A,56.45249939,-3.02583003
31,141,"Clackmannanshire Community Healthcare Centre",H,56.12478022,-3.782199491
32,172,"The Mary Aitkenhead Centre",H,55.8947143,-4.384344928
33,94,"Ailsa Hospital",H,55.43418885,-4.591883282
34,87,"Perth Airport",A,56.43578293,-3.370727821
35,21,"Glasgow International Airport",A,55.871899,-4.43306
36,259,"Midlothian Community Hospital",H,55.88029515,-3.088724814
37,216,"Mull and Iona Community Hospital",H,56.47959836,-5.714768434
38,248,"Glencorse Day Centre",H,55.84777295,-3.189665092
39,104,"Andrew Lang Unit",H,55.55033014,-2.839448313
40,88,"North Ronaldsay Airport",new,59.36923404,-2.431068036
41,10,"Dumfries & Galloway Royal Infirmary",H,55.0588462,-3.657698883
42,200,"Dunbar Hospital",H,58.58451762,-3.538168965
43,125,"Laurel Bank (CETU)",H,55.06292255,-3.602475871
44,109,"Galashiels Psychogeriatric Day Hospital",H,55.61782646,-2.807748979
45,279,"Whitehills Hospital",H,56.65237417,-2.870139267
46,34,"Oban  Airport",A,56.46678798,-5.397557268
47,262,"Royal Victoria Hospital",H,56.46396897,-3.011053694
48,246,"Royal Hospital for Sick Children (Edinburgh)",H,55.93814726,-3.185436819
49,20,"Queen Elizabeth University Hospital",H,55.86270871,-4.336845035
50,202,"Wick Town and County Hospital",H,58.43309857,-3.096742837
51,187,"Dr Gray's Hospital",H,57.64589268,-3.330468391
52,159,"Florence Street Mental Health Resource Centre",H,55.85186975,-4.245560573
